Emile Zola-Au Bonheur des Dames (1972).txt	0	6	5	6	5	6	5	7	7	6	6	5	6	5	5	4	8	7	6	5	4	7	6	6	5	10	
Emile Zola-La Faute de l abbé Mouret-Editions Gallimard (2006).txt	1	1	1	1	0	3	1	2	1	0	-1	2	1	2	2	2	1	2	1	3	2	5	1	0	1	2	
Emile Zola-L Oeuvre-Editions Gallimard (2006).txt	0	-1	5	4	7	6	8	7	7	6	6	5	7	6	9	8	7	6	10	9	11	10	9	8	7	6	
EMILE_ZOLA-Madeleine_ferat-[Atramenta net].txt	0	5	4	6	5	6	5	6	5	8	7	6	5	9	8	7	6	8	7	9	8	9	8	10	9	4	
ZolaMysteresDeMarseille.txt	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	2	1	0	
Zola-Therese_Raquin.txt	2	2	1	2	1	1	3	1	2	3	1	3	3	4	2	5	1	3	3	2	3	4	4	1	2	1	
Emile Zola-L argent-Gallimard (1980).txt	0	-1	9	8	8	7	7	6	7	6	8	7	8	7	6	5	7	6	9	8	9	8	7	6	5	9	
Emile Zola-Pot-Bouille-Gallimard (1982).txt	0	4	4	3	5	4	5	4	5	5	4	5	5	4	3	5	6	5	6	5	6	5	5	7	6	5	
Emile Zola-La Conquete de Plassans-LGF - Livre de Poche (1971).txt	0	2	3	3	3	3	4	4	3	3	3	4	3	3	3	4	5	5	5	6	5	7	3	3	2	3	
Emile Zola-Le Docteur Pascal-Gallimard (1993).txt	0	6	5	8	7	5	6	5	6	5	6	6	5	7	6	6	7	6	8	7	11	6	5	5	4	3	
Emile Zola-Germinal-Gallimard (1999).txt	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	3	2	2	2	2	2	3	4	2	
zola_nana.txt	0	-1	-2	-3	-4	-5	-6	-7	-8	-9	-10	-11	99	98	97	96	95	94	93	92	91	90	89	88	87	86	
Emile Zola-Son Excellence Eugène Rougon-Flammarion (2015).txt	4	6	6	5	5	5	7	6	6	5	6	6	5	4	3	2	1	0	-1	-2	-3	-4	-5	-6	-7	-8	
Emile Zola-La Bete humaine-Gallimard (2001).txt	0	-1	8	7	8	7	6	5	8	7	8	7	8	7	8	7	7	6	8	7	9	8	7	6	5	9	
Emile Zola-La Terre-Gallimard (1980).txt	2	2	3	3	3	2	2	2	2	2	1	2	3	2	3	2	4	4	3	4	3	3	5	4	3	2	
Émile_Zola_La_Fortune_Des_Rougon__2010.txt	0	-1	-2	10	9	8	7	11	10	9	12	11	10	9	15	14	13	19	18	17	16	23	22	21	20	6	
Emile Zola-La Curée.txt	0	-1	-2	-3	-4	22	21	20	19	18	26	25	24	23	22	21	20	19	18	17	28	27	26	25	24	1	
Emile Zola, Henri Mitterand-La Joie de vivre-Editions Gallimard (2008).txt	0	-1	8	7	8	7	10	9	8	9	8	7	6	10	9	9	8	7	9	8	9	8	8	7	6	7	
Emile Zola-L Assommoir-Gallimard (1977).txt	0	6	5	6	5	7	6	7	6	7	6	7	6	8	7	8	7	9	8	8	7	9	8	7	6	4	
EMILE_ZOLA-La_confession_de_claude-[Atramenta net].txt	2	1	0	3	2	3	2	2	2	5	1	5	2	1	0	3	4	7	2	3	8	1	2	5	5	1	
Emile Zola-La Debacle-Gallimard (1984).txt	0	3	4	3	4	4	4	3	4	3	3	3	3	4	4	3	4	4	4	3	4	4	3	5	4	5	
zola_emile_-_une_page_d_amour.txt	0	3	3	4	4	3	4	3	3	4	3	4	4	4	4	3	4	4	4	3	3	4	4	4	3	3	
Emile Zola-La Debacle-Gallimard (1984)(2).txt	0	3	4	3	4	4	4	3	4	3	3	3	3	4	4	3	4	4	4	3	4	4	3	5	4	5	
Emile Zola-Le Docteur Pascal-Gallimard (1993)(1).txt	0	6	5	8	7	5	6	5	6	5	6	6	5	7	6	6	7	6	8	7	11	6	5	5	4	3	
Emile Zola-La Debacle-Gallimard (1984)(1).txt	0	3	4	3	4	4	4	3	4	3	3	3	3	4	4	3	4	4	4	3	4	4	3	5	4	5	
